Saint_ID,Name,Country,Born,Born2,Born Location,Died,Died2,Died Location,Age,Feast,Beatified,Beatified Location,Canonised,Canonised_Location,Bio,Is_Married,Is_Layperson,Is_Martyr,Latitude,Longitude
72332,Saint Aicadre,France,,,,VII century ,VII century ,France,,9.15,,,,,Abbot. Abbot of Jumièges Abbey.,FALSE,FALSE,FALSE,48.8575,2.3514
72333,Saint Evodio,Italy,,,,303,303 AD,"Siracusa, Italy",,,,,,,Layperson. Companion of Saint Ermogene and Saint Callista. Martyr.,FALSE,TRUE,TRUE,37.0754013,15.2867415
72334,Saint Ermogene,Italy,,,,303,303 AD,"Siracusa, Italy",,,,,,,Layperson. Companion of Saint Evodio and Saint Callista. Martyr.,FALSE,TRUE,TRUE,37.0754013,15.2867415
72335,Saint Callista,Italy,,,,303,303 AD,"Siracusa, Italy",,,,,,,Layperson. Companion of Saint Evodio and Saint Ermogene. Martyr.,FALSE,TRUE,TRUE,37.0754013,15.2867415
72336,Saint Suranus,Italy,,,Italy,VI century,VI century,Italy,,,,,,,Abbot. Abbot in a monastery in Sora province. Martyr.,FALSE,FALSE,TRUE,41.8967068,12.4822025
72351,Saint Nicaise de Rouen,France,,,,260,260 AD,"Rouen, France",,10.11,,,,,Bishop of Rouen (France) (250? – 260?),FALSE,FALSE,FALSE,49.4435261,1.0984309
72382,Saint Ciriaco di Ostia,Italy,,,,235,235 AD,"Ostia, Italy",,8.23,,,,,Bishop of Ostia (Italy) (229? – 235),FALSE,FALSE,FALSE,41.7311182,12.2862694
72390,Saint Athenogenes of Sebaste,Turkiye,,,,300,300 AD,Turkiye,,7.16,,,,,Bishop. Chorbishop of Sebastia. Martyr.,FALSE,FALSE,TRUE,41.89481123,12.48441069165163
72407,Saint Hermas of Myra,Turkiye,,,,100,100 AD,"Myra, Turkiye",,11.04,,,,,Priest. Martyr.,FALSE,FALSE,TRUE,38.963745,35.243322
72409,Saint Athenodorus of Neocæsarea,Turkiye,,,Turkiye,269? AD,269? AD,,,,,,,,Metropolitan Archbishop of Neocæsarea (Turkiye) (? – 269?),FALSE,FALSE,FALSE,39.9334,32.8597
72410,Saint Tolomeo di Nepi,Italy,,,,BC,BC,,,,,,,,Bishop of Nepi (Italy) (100? – ?),FALSE,FALSE,FALSE,41.9028,12.4964
72411,Saint Révérien d’Autun,France,,,,273.06.01,273.06.01,"Saint-Révérien, France",,,,,,,Bishop of Autun (France) (? – 273.06.01),FALSE,FALSE,FALSE,43.42519,6.76837
72412,Saint Paul d’Autun,France,,,,273.06.01,273.06.01,"Saint-Révérien, France",,,,,,,Priest. Companion of Saint Révérien d’Autun. Martyr.,FALSE,FALSE,TRUE,43.42519,6.76837
72415,Saint Patrick of Prusa,Turkiye,,,,300,300 AD,"Prusa, Turkiye",,,,,,,Bishop of Prusa (Turkiye) (? – 300?),FALSE,FALSE,FALSE,40.1885281,29.0609636
72416,Saint Acatius of Prusa,Turkiye,,,,300,300 AD,"Prusa, Turkiye",,,,,,,"Priest. Companion of Saint Patrick of Prusa, Saint Menander of Prusa and Saint Polyænus of Prusa. Martyr.",FALSE,FALSE,TRUE,40.1885281,29.0609636
72417,Saint Menander of Prusa,Turkiye,,,,300,300 AD,"Prusa, Turkiye",,,,,,,"Priest. Companion of Saint Patrick of Prusa, Saint Acatius of Prusa and Saint Polyænus of Prusa. Martyr.",FALSE,FALSE,TRUE,40.1885281,29.0609636
